iter	Passed	Remaining
0	3216	125435
1	6328	120242
2	9908	122207
3	13544	121903
4	17302	121119
5	20704	117323
6	24116	113691
7	27518	110073
8	30965	106657
9	34558	103674
10	38092	100425
11	41634	97147
12	45495	94490
13	49108	91201
14	52477	87462
15	56044	84066
16	59634	80681
17	63114	77139
18	66692	73713
19	70248	70248
20	73817	66787
21	77318	63260
22	80732	59671
23	84335	56223
24	87946	52767
25	91291	49157
26	94919	45702
27	98367	42157
28	101834	38626
29	105646	35215
30	109106	31676
31	112697	28174
32	116278	24665
33	119711	21125
34	123457	17636
35	127014	14112
36	130606	10589
37	133904	7047
38	137372	3522
39	140798	0
