iter	Logloss
0	0.5019520395
1	0.4149404678
2	0.3745395033
3	0.3369539982
4	0.3188895722
5	0.3018909785
6	0.2914267285
7	0.2813502336
8	0.274138143
9	0.2696725957
10	0.265496273
11	0.2611711167
12	0.2551911974
13	0.2502854276
14	0.2452144114
15	0.2418820894
16	0.2396597309
17	0.2369060896
18	0.234854146
19	0.2339864172
20	0.2306913102
21	0.2283987997
22	0.2269726458
23	0.224816064
24	0.2236982222
25	0.2226539277
26	0.2218106643
27	0.2208170831
28	0.2202345425
29	0.2184873555
30	0.217475003
31	0.2167260378
32	0.2164594284
33	0.2158488801
34	0.2153341734
35	0.2144449029
36	0.2140195069
37	0.2130125921
38	0.2125502363
39	0.2115082912
40	0.2113377923
41	0.2108215049
42	0.2104093127
43	0.2098153534
44	0.2094662261
